user_id,exercise_id,workout_id,rating,rating_date,session_id,completion_status,difficulty_feedback
1885,363,49,4,2025-09-07 03:34:57,10538,True,2
575,196,27,3,2025-06-08 03:34:57,52,False,5
1593,120,43,4,2025-01-04 03:34:57,11211,True,4
336,41,255,3,2025-03-10 03:34:57,12530,True,3
757,338,108,3,2025-02-21 03:34:57,15955,True,4
256,479,49,5,2024-11-14 03:34:57,8599,False,1
1861,15,175,3,2025-01-05 03:34:57,16998,True,5
1979,301,251,5,2025-03-12 03:34:57,7233,True,2
1717,415,282,5,2024-12-29 03:34:57,10568,True,3
105,184,148,3,2025-06-26 03:34:57,10165,False,2
1171,446,72,5,2025-08-25 03:34:57,12673,False,4
1465,259,146,1,2025-08-18 03:34:57,16480,True,4
1946,231,275,4,2025-01-30 03:34:57,19734,False,5
803,107,128,5,2025-05-01 03:34:57,16495,True,5
1248,101,132,3,2025-06-15 03:34:57,5240,True,1
572,250,140,4,2025-08-08 03:34:57,1907,False,4
1102,226,162,4,2025-05-12 03:34:57,10714,True,5
706,35,275,1,2025-01-21 03:34:57,4360,False,3
1702,29,271,4,2025-02-23 03:34:57,2094,True,2
1290,175,4,4,2025-07-16 03:34:57,12343,True,2
1555,156,156,3,2025-06-26 03:34:57,10260,False,3
907,432,28,4,2025-08-30 03:34:57,11222,True,2
353,300,170,4,2025-05-14 03:34:57,1019,True,1
1114,67,236,5,2024-10-24 03:34:57,977,False,2
1622,102,214,4,2025-06-22 03:34:57,6230,True,5
1762,364,60,4,2025-08-04 03:34:57,8309,True,3
968,33,44,4,2025-04-09 03:34:57,3440,True,1
1880,405,287,4,2024-12-09 03:34:57,19660,False,3
121,433,244,3,2025-03-17 03:34:57,17291,True,2
1792,456,276,3,2025-07-12 03:34:57,12878,True,1
43,8,13,4,2024-12-04 03:34:57,18967,True,2
1597,115,67,5,2024-10-17 03:34:57,12261,True,1
334,284,54,5,2025-06-11 03:34:57,2457,True,5
158,348,159,5,2025-01-29 03:34:57,6806,True,5
589,85,46,4,2025-08-05 03:34:57,6631,True,4
704,6,144,5,2025-07-10 03:34:57,15022,False,4
1471,362,222,5,2025-08-26 03:34:57,15925,True,3
815,392,279,4,2024-11-16 03:34:57,3811,True,5
1552,273,160,2,2025-02-09 03:34:57,9472,True,2
1492,111,210,2,2025-06-20 03:34:57,15581,False,4
615,50,110,5,2025-09-01 03:34:57,2181,True,2
892,208,199,4,2025-04-19 03:34:57,15532,True,4
1812,367,7,4,2025-08-28 03:34:57,1904,False,2
848,203,288,3,2025-03-07 03:34:57,17624,True,3
332,184,27,1,2024-12-21 03:34:57,10605,True,5
373,104,245,1,2025-05-28 03:34:57,11620,True,1
706,384,100,4,2025-09-02 03:34:57,7850,True,1
1056,149,266,5,2024-10-14 03:34:57,9229,True,1
88,428,46,5,2025-09-02 03:34:57,7615,True,1
1630,455,251,5,2025-02-01 03:34:57,3958,False,3
526,85,3,4,2025-04-17 03:34:57,6999,True,5
1868,175,114,1,2024-10-25 03:34:57,4667,True,2
303,95,141,5,2025-06-04 03:34:57,15137,False,4
1978,376,230,2,2025-02-16 03:34:57,15620,True,4
1502,418,95,5,2025-02-02 03:34:57,884,True,1
1224,334,161,2,2024-11-14 03:34:57,8121,True,3
1924,84,48,4,2025-08-22 03:34:57,17693,True,1
998,282,50,4,2024-09-26 03:34:57,10680,False,2
1664,104,254,4,2025-02-16 03:34:57,1597,False,1
13,147,240,5,2024-11-10 03:34:57,14629,True,1
1190,427,250,4,2025-05-10 03:34:57,7129,True,4
491,396,141,3,2025-02-07 03:34:57,6022,True,2
1278,180,40,2,2025-09-13 03:34:57,7905,True,4
1724,313,22,5,2025-04-01 03:34:57,9395,False,5
1564,84,280,5,2025-04-08 03:34:57,2341,False,2
1194,86,133,3,2024-10-13 03:34:57,8956,True,3
1225,107,250,5,2025-06-24 03:34:57,10365,False,1
1783,166,150,2,2025-07-15 03:34:57,3805,True,5
532,289,100,4,2025-07-06 03:34:57,9863,True,5
875,201,217,5,2025-07-09 03:34:57,16159,True,4
1614,435,172,4,2024-12-22 03:34:57,7075,True,3
1600,132,272,2,2024-10-15 03:34:57,6765,False,5
1204,58,79,3,2025-05-23 03:34:57,16881,True,1
1339,69,215,5,2025-02-27 03:34:57,3217,True,1
1409,269,187,4,2024-10-06 03:34:57,8302,True,2
51,403,51,2,2025-07-15 03:34:57,16980,True,3
57,226,196,5,2025-07-21 03:34:57,17671,True,2
948,26,246,4,2024-11-08 03:34:57,5652,True,2
1488,246,81,4,2025-09-11 03:34:57,10049,True,5
790,274,194,4,2024-12-30 03:34:57,13338,True,4
356,26,34,5,2024-11-21 03:34:57,3767,True,1
757,402,62,3,2025-06-14 03:34:57,1935,False,4
592,16,194,3,2025-06-05 03:34:57,7983,True,2
209,475,165,2,2024-11-05 03:34:57,19096,True,4
151,207,255,5,2025-05-03 03:34:57,13143,True,5
370,227,193,4,2025-05-26 03:34:57,11269,False,3
1557,152,128,1,2024-12-18 03:34:57,3466,True,5
1652,188,57,2,2025-04-24 03:34:57,13474,True,4
1375,99,167,4,2024-10-30 03:34:57,2000,True,1
365,65,69,4,2024-11-09 03:34:57,247,True,4
615,431,112,3,2024-11-21 03:34:57,19288,True,3
955,136,55,5,2025-01-06 03:34:57,4349,True,1
1703,429,160,3,2025-02-28 03:34:57,3339,True,3
858,248,55,5,2025-09-04 03:34:57,10308,True,4
650,174,97,5,2025-03-22 03:34:57,9458,False,3
1426,360,60,4,2024-09-24 03:34:57,4677,True,5
1176,102,95,4,2025-02-04 03:34:57,7293,False,1
938,236,162,2,2024-10-03 03:34:57,1092,True,3
1661,170,47,4,2024-11-20 03:34:57,13436,True,1
1478,402,275,3,2024-12-22 03:34:57,16477,True,3
1131,328,65,2,2025-05-09 03:34:57,6126,False,4
1086,273,229,4,2025-02-15 03:34:57,17295,False,5
1968,3,193,3,2024-09-25 03:34:57,1142,True,2
649,318,120,4,2025-07-14 03:34:57,4009,False,1
512,47,260,1,2025-03-25 03:34:57,522,False,3
248,140,176,4,2025-07-09 03:34:57,18783,False,4
1422,112,206,5,2025-06-03 03:34:57,7550,False,3
1484,438,10,5,2024-10-01 03:34:57,17867,True,3
851,326,168,5,2025-03-15 03:34:57,18922,True,1
717,312,182,4,2024-12-27 03:34:57,2059,False,4
731,297,259,2,2025-04-18 03:34:57,7831,True,2
472,107,134,4,2024-10-04 03:34:57,15740,True,4
1776,370,13,5,2025-08-05 03:34:57,9430,True,2
159,444,125,4,2024-12-18 03:34:57,12567,True,4
1949,431,30,3,2025-02-21 03:34:57,15910,True,1
360,372,215,5,2025-01-05 03:34:57,2571,True,5
1344,14,50,3,2025-07-14 03:34:57,4487,True,5
568,105,132,3,2025-01-16 03:34:57,18705,True,5
484,38,240,5,2025-08-04 03:34:57,19466,False,5
1486,4,44,4,2025-01-09 03:34:57,19172,False,5
1198,255,277,4,2025-07-14 03:34:57,16710,False,4
484,417,36,5,2025-04-25 03:34:57,11227,True,5
702,96,282,4,2024-12-17 03:34:57,529,True,4
1664,293,294,4,2025-09-20 03:34:57,15257,False,5
235,440,8,4,2025-08-25 03:34:57,3926,True,5
1618,387,219,2,2025-07-13 03:34:57,6407,True,1
1579,347,285,2,2025-02-04 03:34:57,8032,True,2
1094,110,132,4,2025-06-24 03:34:57,9353,False,2
688,171,100,5,2025-07-26 03:34:57,12534,False,3
218,104,55,3,2025-04-18 03:34:57,9781,False,4
699,364,150,5,2024-11-27 03:34:57,9115,True,1
806,341,152,2,2025-07-23 03:34:57,19311,False,5
1952,106,96,4,2025-08-13 03:34:57,4264,False,5
1228,8,282,4,2025-06-03 03:34:57,2011,False,4
831,49,115,3,2025-04-07 03:34:57,7879,True,4
1543,200,67,4,2025-01-22 03:34:57,13255,True,5
1887,87,185,4,2025-02-19 03:34:57,18791,True,3
950,369,4,4,2025-03-29 03:34:57,723,True,3
771,412,191,3,2025-05-06 03:34:57,2518,True,1
1941,356,230,2,2024-11-15 03:34:57,3953,True,5
1584,477,269,4,2025-09-05 03:34:57,16990,True,5
1863,133,32,4,2025-08-27 03:34:57,10197,False,5
1692,314,276,5,2025-02-23 03:34:57,12732,True,1
697,459,54,3,2024-10-14 03:34:57,16212,True,2
703,334,279,5,2025-09-08 03:34:57,12448,True,5
1550,180,292,5,2025-02-19 03:34:57,13462,True,4
253,60,266,3,2025-08-31 03:34:57,4827,True,2
1770,474,36,4,2024-11-01 03:34:57,17242,False,1
30,115,4,3,2025-01-27 03:34:57,17943,True,5
1608,304,230,4,2025-02-25 03:34:57,6407,False,1
1362,301,175,4,2024-12-29 03:34:57,8521,False,3
438,343,238,3,2025-09-05 03:34:57,2559,True,5
1325,6,220,4,2024-11-30 03:34:57,13698,True,5
1704,251,82,5,2025-09-09 03:34:57,3281,True,2
1601,102,300,4,2025-07-06 03:34:57,15408,True,1
209,445,84,4,2024-11-21 03:34:57,5090,True,4
1514,269,47,5,2025-06-22 03:34:57,14326,True,4
1613,204,44,2,2024-09-29 03:34:57,825,False,2
1278,180,157,5,2024-12-06 03:34:57,16713,True,1
304,67,221,3,2025-02-13 03:34:57,19710,True,5
1239,375,86,4,2024-10-24 03:34:57,12072,True,1
963,475,146,3,2025-07-17 03:34:57,8709,False,2
1492,94,106,4,2024-10-15 03:34:57,4410,False,1
159,268,149,4,2025-06-22 03:34:57,17132,True,2
1498,356,168,4,2024-12-24 03:34:57,14450,False,2
65,479,172,3,2025-04-24 03:34:57,17770,True,1
1310,10,227,3,2025-06-28 03:34:57,3536,True,1
171,213,18,4,2025-07-23 03:34:57,2838,False,5
74,66,168,3,2024-12-21 03:34:57,237,True,2
661,318,107,3,2025-09-12 03:34:57,6340,False,5
1654,290,61,3,2024-10-21 03:34:57,6962,True,4
634,167,8,4,2024-10-12 03:34:57,15132,True,3
1217,418,62,3,2024-12-13 03:34:57,4888,True,5
606,431,115,3,2025-09-08 03:34:57,15776,True,1
379,324,173,5,2025-07-19 03:34:57,15461,True,2
1867,45,87,3,2025-01-05 03:34:57,1741,True,2
1955,280,17,4,2025-04-02 03:34:57,17602,True,3
1393,29,263,3,2024-12-16 03:34:57,10316,True,2
1999,117,280,4,2025-01-30 03:34:57,13385,True,3
1923,233,216,3,2025-02-27 03:34:57,2474,True,3
1953,316,93,4,2025-06-30 03:34:57,16891,True,5
1252,376,130,5,2024-12-12 03:34:57,5191,True,5
337,132,276,1,2025-09-18 03:34:57,11218,True,3
